Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
4/11/2023,AQS,80050006,1,0.065,ppm,84,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/12/2023,AQS,80050006,1,0.059,ppm,64,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/13/2023,AQS,80050006,1,0.058,ppm,61,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/14/2023,AQS,80050006,1,0.041,ppm,38,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/15/2023,AQS,80050006,1,0.052,ppm,48,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/24/2023,AQS,80050006,1,0.062,ppm,74,Aurora East,13,76,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/25/2023,AQS,80050006,1,0.054,ppm,50,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/26/2023,AQS,80050006,1,0.049,ppm,45,Aurora East,13,76,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/27/2023,AirNow,80050006,1,0.054,ppm,50,Aurora East,18,75,44201,Ozone,,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/28/2023,AirNow,80050006,1,0.054,ppm,50,Aurora East,24,100,44201,Ozone,,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/29/2023,AQS,80050006,1,0.052,ppm,48,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/30/2023,AQS,80050006,1,0.053,ppm,49,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
